User's manual r01uh0330ej0210_rl78l12; Version 1.00; November 15, 2016
RegisterName,RegisterBookmark,RegisterTableCaption,NumberOfAppearance,ModuleInformation,SearchKey
DIVMODE,15.3.1  Multiplication/division control register (MDUC),Figure15-5.FormatofMultiplication/DivisionControlRegister(MDUC),2,,
PER0,5.3.6  Peripheral enable register 0 (PER0),Figure5-7.FormatofPeripheralEnableRegister0(PER0)(1/2),,CLOCK  GENERATOR,
TAU0EN,5.3.6  Peripheral enable register 0 (PER0),Figure5-7.FormatofPeripheralEnableRegister0(PER0)(2/2),2,CLOCK  GENERATOR,
SAU0EN,5.3.6  Peripheral enable register 0 (PER0),Figure5-7.FormatofPeripheralEnableRegister0(PER0)(2/2),2,CLOCK  GENERATOR,
IICA0EN,5.3.6  Peripheral enable register 0 (PER0),Figure5-7.FormatofPeripheralEnableRegister0(PER0)(2/2),2,CLOCK  GENERATOR,
ADCEN,5.3.6  Peripheral enable register 0 (PER0),Figure5-7.FormatofPeripheralEnableRegister0(PER0)(1/2),2,CLOCK  GENERATOR,
RTCEN,5.3.6  Peripheral enable register 0 (PER0),Figure5-7.FormatofPeripheralEnableRegister0(PER0)(1/2),2,CLOCK  GENERATOR,
PER0,6.3.1  Peripheral enable register 0 (PER0),Figure6-10.FormatofPeripheralEnableRegister0(PER0),,TIMER  ARRAY  UNIT,
TAU0EN,6.3.1  Peripheral enable register 0 (PER0),Figure6-10.FormatofPeripheralEnableRegister0(PER0),2,TIMER  ARRAY  UNIT,
PER0,7.3.1  Peripheral enable register 0 (PER0),Figure7-2.FormatofPeripheralEnableRegister0(PER0),,REAL-TIME  CLOCK,
RTCEN,7.3.1  Peripheral enable register 0 (PER0),Figure7-2.FormatofPeripheralEnableRegister0(PER0),2,REAL-TIME  CLOCK,
PER0,8.3.1  Peripheral enable register 0 (PER0),Figure8-2.FormatofPeripheralEnableRegister0(PER0),,12-BIT  INTERVAL  TIMER,
RTCEN,8.3.1  Peripheral enable register 0 (PER0),Figure8-2.FormatofPeripheralEnableRegister0(PER0),2,12-BIT  INTERVAL  TIMER,
PER0,9.3.1  Peripheral enable register 0 (PER0),Figure9-2.FormatofPeripheralEnableRegister0(PER0),,CLOCK  OUTPUT/BUZZER  OUTPUT  CONTROLLER,
RTCEN,9.3.1  Peripheral enable register 0 (PER0),Figure9-2.FormatofPeripheralEnableRegister0(PER0),2,CLOCK  OUTPUT/BUZZER  OUTPUT  CONTROLLER,
PER0,11.3.1  Peripheral enable register 0 (PER0),Figure11-2.FormatofPeripheralEnableRegister0(PER0),,A/D  CONVERTER,
ADCEN,11.3.1  Peripheral enable register 0 (PER0),Figure11-2.FormatofPeripheralEnableRegister0(PER0),2,A/D  CONVERTER,
PER0,12.3.1  Peripheral enable register 0 (PER0),Figure12-3.FormatofPeripheralEnableRegister0(PER0),,SERIAL  ARRAY  UNIT,
SAU0EN,12.3.1  Peripheral enable register 0 (PER0),Figure12-3.FormatofPeripheralEnableRegister0(PER0),2,SERIAL  ARRAY  UNIT,
PER0,13.3.1  Peripheral enable register 0 (PER0),Figure13-5.FormatofPeripheralEnableRegister0(PER0),,SERIAL  INTERFACE  IICA,
IICA0EN,13.3.1  Peripheral enable register 0 (PER0),Figure13-5.FormatofPeripheralEnableRegister0(PER0),2,SERIAL  INTERFACE  IICA,
PER0,14.3.1  Peripheral enable register 0 (PER0),Figure14-2.FormatofPeripheralEnableRegister0(PER0),,LCD  CONTROLLER/DRIVER,
RTCEN,14.3.1  Peripheral enable register 0 (PER0),Figure14-2.FormatofPeripheralEnableRegister0(PER0),2,LCD  CONTROLLER/DRIVER,
OSMC,5.3.7  Subsystem clock supply mode control register (OSMC),Figure5-8.FormatofSubsystemClockSupplyModeControlRegister(OSMC),,CLOCK  GENERATOR,
OSMC,7.3.2  Subsystem clock supply mode control register (OSMC),Figure7-3.FormatofSubsystemClockSupplyModeControlRegister(OSMC),,REAL-TIME  CLOCK,
OSMC,8.3.2  Subsystem clock supply mode control register (OSMC),Figure8-3.FormatofSubsystemClockSupplyModeControlRegister(OSMC),,12-BIT  INTERVAL  TIMER,
OSMC,14.3.4  Subsystem clock supply mode control register (OSMC),Figure14-5.FormatofSubsystemClockSupplyModeControlRegister(OSMC),,LCD  CONTROLLER/DRIVER,
RPECTL,23.3.3  RAM parity error detection function ,Figure23-7.FormatofRAMParityErrorControlRegister(RPECTL),,,
RPEF,23.3.3  RAM parity error detection function ,Figure23-7.FormatofRAMParityErrorControlRegister(RPECTL),2,,
RPERDIS,23.3.3  RAM parity error detection function ,Figure23-7.FormatofRAMParityErrorControlRegister(RPECTL),2,,
BCDADJ,28.2.1  BCD correction result register (BCDADJ) ,Figure28-1.FormatofBCDCorrectionResultRegister(BCDADJ),,,
SSR00,12.3.7  Serial status register mn (SSRmn),Figure12-9.FormatofSerialStatusRegistermn(SSRmn)(1/2),,,
SSR00L,12.3.7  Serial status register mn (SSRmn),Figure12-9.FormatofSerialStatusRegistermn(SSRmn)(1/2),,,
SSR01,12.3.7  Serial status register mn (SSRmn),Figure12-9.FormatofSerialStatusRegistermn(SSRmn)(1/2),,,
SSR01L,12.3.7  Serial status register mn (SSRmn),Figure12-9.FormatofSerialStatusRegistermn(SSRmn)(1/2),,,
SIR00,12.3.6  Serial flag clear trigger register mn (SIRmn),Figure12-8.FormatofSerialFlagClearTriggerRegistermn(SIRmn),,,
SIR00L,12.3.6  Serial flag clear trigger register mn (SIRmn),Figure12-8.FormatofSerialFlagClearTriggerRegistermn(SIRmn),,,
SIR01,12.3.6  Serial flag clear trigger register mn (SIRmn),Figure12-8.FormatofSerialFlagClearTriggerRegistermn(SIRmn),,,
SIR01L,12.3.6  Serial flag clear trigger register mn (SIRmn),Figure12-8.FormatofSerialFlagClearTriggerRegistermn(SIRmn),,,
SMR00,12.3.3  Serial mode register mn (SMRmn),Figure12-5.FormatofSerialModeRegistermn(SMRmn)(1/2),,,
SMR01,12.3.3  Serial mode register mn (SMRmn),Figure12-5.FormatofSerialModeRegistermn(SMRmn)(1/2),,,
SCR00,12.3.4  Serial communication operation setting register mn (SCRmn),Figure12-6.FormatofSerialCommunicationOperationSettingRegistermn(SCRmn)(1/2),,,
SCR01,12.3.4  Serial communication operation setting register mn (SCRmn),Figure12-6.FormatofSerialCommunicationOperationSettingRegistermn(SCRmn)(1/2),,,
SE0,12.3.10  Serial channel enable status register m (SEm),Figure12-12.FormatofSerialChannelEnableStatusRegisterm(SEm),,,
SE0L,12.3.10  Serial channel enable status register m (SEm),Figure12-12.FormatofSerialChannelEnableStatusRegisterm(SEm),,,
SS0,12.3.8  Serial channel start register m (SSm),Figure12-10.FormatofSerialChannelStartRegisterm(SSm),,,
SS0L,12.3.8  Serial channel start register m (SSm),Figure12-10.FormatofSerialChannelStartRegisterm(SSm),,,
ST0,12.3.9  Serial channel stop register m (STm),Figure12-11.FormatofSerialChannelStopRegisterm(STm),,,
ST0L,12.3.9  Serial channel stop register m (STm),Figure12-11.FormatofSerialChannelStopRegisterm(STm),,,
SPS0,12.3.2  Serial clock select register m (SPSm),Figure12-4.FormatofSerialClockSelectRegisterm(SPSm),,,
SPS0L,12.3.2  Serial clock select register m (SPSm),Figure12-4.FormatofSerialClockSelectRegisterm(SPSm),,,
SO0,12.3.12  Serial output register m (SOm),Figure12-14.FormatofSerialOutputRegisterm(SOm),,,
SOE0,12.3.11  Serial output enable register m (SOEm),Figure12-13.FormatofSerialOutputEnableRegisterm(SOEm),,,
SOE0L,12.3.11  Serial output enable register m (SOEm),Figure12-13.FormatofSerialOutputEnableRegisterm(SOEm),,,
SOL0,12.3.13  Serial output level register m (SOLm),Figure12-15.FormatofSerialOutputLevelRegisterm(SOLm),,,
SOL0L,12.3.13  Serial output level register m (SOLm),Figure12-15.FormatofSerialOutputLevelRegisterm(SOLm),,,
SSC0,12.3.14  Serial standby control register m (SSCm),Figure12-17.FormatofSerialStandbyControlRegisterm(SSCm),,,
SSC0L,12.3.14  Serial standby control register m (SSCm),Figure12-17.FormatofSerialStandbyControlRegisterm(SSCm),,,
TCR00,6.2.1  Timer count register mn (TCRmn),Figure6-7.FormatofTimerCountRegistermn(TCRmn),,,
TCR01,6.2.1  Timer count register mn (TCRmn),Figure6-7.FormatofTimerCountRegistermn(TCRmn),,,
TCR02,6.2.1  Timer count register mn (TCRmn),Figure6-7.FormatofTimerCountRegistermn(TCRmn),,,
TCR03,6.2.1  Timer count register mn (TCRmn),Figure6-7.FormatofTimerCountRegistermn(TCRmn),,,
TCR04,6.2.1  Timer count register mn (TCRmn),Figure6-7.FormatofTimerCountRegistermn(TCRmn),,,
TCR05,6.2.1  Timer count register mn (TCRmn),Figure6-7.FormatofTimerCountRegistermn(TCRmn),,,
TCR06,6.2.1  Timer count register mn (TCRmn),Figure6-7.FormatofTimerCountRegistermn(TCRmn),,,
TCR07,6.2.1  Timer count register mn (TCRmn),Figure6-7.FormatofTimerCountRegistermn(TCRmn),,,
TMR00,6.3.3  Timer mode register mn (TMRmn),Figure6-12.FormatofTimerModeRegistermn(TMRmn)(1/4),,,
TMR01,6.3.3  Timer mode register mn (TMRmn),Figure6-12.FormatofTimerModeRegistermn(TMRmn)(1/4),,,
TMR02,6.3.3  Timer mode register mn (TMRmn),Figure6-12.FormatofTimerModeRegistermn(TMRmn)(1/4),,,
TMR03,6.3.3  Timer mode register mn (TMRmn),Figure6-12.FormatofTimerModeRegistermn(TMRmn)(1/4),,,
TMR04,6.3.3  Timer mode register mn (TMRmn),Figure6-12.FormatofTimerModeRegistermn(TMRmn)(1/4),,,
TMR05,6.3.3  Timer mode register mn (TMRmn),Figure6-12.FormatofTimerModeRegistermn(TMRmn)(1/4),,,
TMR06,6.3.3  Timer mode register mn (TMRmn),Figure6-12.FormatofTimerModeRegistermn(TMRmn)(1/4),,,
TMR07,6.3.3  Timer mode register mn (TMRmn),Figure6-12.FormatofTimerModeRegistermn(TMRmn)(1/4),,,
TSR00,6.3.4  Timer status register mn (TSRmn),Figure6-13.FormatofTimerStatusRegistermn(TSRmn),,,
TSR00L,6.3.4  Timer status register mn (TSRmn),Figure6-13.FormatofTimerStatusRegistermn(TSRmn),,,
TSR01,6.3.4  Timer status register mn (TSRmn),Figure6-13.FormatofTimerStatusRegistermn(TSRmn),,,
TSR01L,6.3.4  Timer status register mn (TSRmn),Figure6-13.FormatofTimerStatusRegistermn(TSRmn),,,
TSR02,6.3.4  Timer status register mn (TSRmn),Figure6-13.FormatofTimerStatusRegistermn(TSRmn),,,
TSR02L,6.3.4  Timer status register mn (TSRmn),Figure6-13.FormatofTimerStatusRegistermn(TSRmn),,,
TSR03,6.3.4  Timer status register mn (TSRmn),Figure6-13.FormatofTimerStatusRegistermn(TSRmn),,,
TSR03L,6.3.4  Timer status register mn (TSRmn),Figure6-13.FormatofTimerStatusRegistermn(TSRmn),,,
TSR04,6.3.4  Timer status register mn (TSRmn),Figure6-13.FormatofTimerStatusRegistermn(TSRmn),,,
TSR04L,6.3.4  Timer status register mn (TSRmn),Figure6-13.FormatofTimerStatusRegistermn(TSRmn),,,
TSR05,6.3.4  Timer status register mn (TSRmn),Figure6-13.FormatofTimerStatusRegistermn(TSRmn),,,
TSR05L,6.3.4  Timer status register mn (TSRmn),Figure6-13.FormatofTimerStatusRegistermn(TSRmn),,,
TSR06,6.3.4  Timer status register mn (TSRmn),Figure6-13.FormatofTimerStatusRegistermn(TSRmn),,,
TSR06L,6.3.4  Timer status register mn (TSRmn),Figure6-13.FormatofTimerStatusRegistermn(TSRmn),,,
TSR07,6.3.4  Timer status register mn (TSRmn),Figure6-13.FormatofTimerStatusRegistermn(TSRmn),,,
TSR07L,6.3.4  Timer status register mn (TSRmn),Figure6-13.FormatofTimerStatusRegistermn(TSRmn),,,
TE0,6.3.5  Timer channel enable status register m (TEm),Figure6-14.FormatofTimerChannelEnableStatusRegisterm(TEm),,,
TE0L,6.3.5  Timer channel enable status register m (TEm),Figure6-14.FormatofTimerChannelEnableStatusRegisterm(TEm),,,
TS0,6.3.6  Timer channel start register m (TSm),Figure6-15.FormatofTimerChannelStartRegisterm(TSm),,,
TS0L,6.3.6  Timer channel start register m (TSm),Figure6-15.FormatofTimerChannelStartRegisterm(TSm),,,
TT0,6.3.7  Timer channel stop register m (TTm),Figure6-16.FormatofTimerChannelStopRegisterm(TTm),,,
TT0L,6.3.7  Timer channel stop register m (TTm),Figure6-16.FormatofTimerChannelStopRegisterm(TTm),,,
TPS0,6.3.2  Timer clock select register m (TPSm),Figure6-11.FormatofTimerClockSelectregisterm(TPSm)(1/2),,,
TO0,6.3.11  Timer output register m (TOm),Figure6-20.FormatofTimerOutputRegisterm(TOm),,,
TO0L,6.3.11  Timer output register m (TOm),Figure6-20.FormatofTimerOutputRegisterm(TOm),,,
TOE0,6.3.10  Timer output enable register m (TOEm),Figure6-19.FormatofTimerOutputEnableRegisterm(TOEm),,,
TOE0L,6.3.10  Timer output enable register m (TOEm),Figure6-19.FormatofTimerOutputEnableRegisterm(TOEm),,,
TOL0,6.3.12  Timer output level register m (TOLm),Figure6-21.FormatofTimerOutputLevelRegisterm(TOLm),,,
TOL0L,6.3.12  Timer output level register m (TOLm),Figure6-21.FormatofTimerOutputLevelRegisterm(TOLm),,,
TOM0,6.3.13  Timer output mode register m (TOMm),Figure6-22.FormatofTimerOutputModeRegisterm(TOMm),,,
TOM0L,6.3.13  Timer output mode register m (TOMm),Figure6-22.FormatofTimerOutputModeRegisterm(TOMm),,,
IICCTL00,13.3.2  IICA control register 00 (IICCTL00),Figure13-6.FormatofIICAControlRegister00(IICCTL00)(1/4),,,
SPT0,13.3.2  IICA control register 00 (IICCTL00),Figure13-6.FormatofIICAControlRegister00(IICCTL00)(4/4),1,,
STT0,13.3.2  IICA control register 00 (IICCTL00),Figure13-6.FormatofIICAControlRegister00(IICCTL00)(3/4),1,,
ACKE0,13.3.2  IICA control register 00 (IICCTL00),Figure13-6.FormatofIICAControlRegister00(IICCTL00)(2/4),1,,
WTIM0,13.3.2  IICA control register 00 (IICCTL00),Figure13-6.FormatofIICAControlRegister00(IICCTL00)(2/4),1,,
SPIE0,13.3.2  IICA control register 00 (IICCTL00),Figure13-6.FormatofIICAControlRegister00(IICCTL00)(2/4),1,,
WREL0,13.3.2  IICA control register 00 (IICCTL00),Figure13-6.FormatofIICAControlRegister00(IICCTL00)(1/4),2,,
LREL0,13.3.2  IICA control register 00 (IICCTL00),Figure13-6.FormatofIICAControlRegister00(IICCTL00)(1/4),2,,
IICE0,13.3.2  IICA control register 00 (IICCTL00),Figure13-6.FormatofIICAControlRegister00(IICCTL00)(1/4),2,,
IICCTL01,13.3.5  IICA control register 01 (IICCTL01),Figure13-9.FormatofIICAControlRegister01(IICCTL01)(1/2),,,
PRS0,13.3.5  IICA control register 01 (IICCTL01),Figure13-9.FormatofIICAControlRegister01(IICCTL01)(2/2),1,,
DFC0,13.3.5  IICA control register 01 (IICCTL01),Figure13-9.FormatofIICAControlRegister01(IICCTL01)(2/2),1,,
SMC0,13.3.5  IICA control register 01 (IICCTL01),Figure13-9.FormatofIICAControlRegister01(IICCTL01)(2/2),1,,
DAD0,13.3.5  IICA control register 01 (IICCTL01),Figure13-9.FormatofIICAControlRegister01(IICCTL01)(2/2),1,,
CLD0,13.3.5  IICA control register 01 (IICCTL01),Figure13-9.FormatofIICAControlRegister01(IICCTL01)(2/2),1,,
WUP0,13.3.5  IICA control register 01 (IICCTL01),Figure13-9.FormatofIICAControlRegister01(IICCTL01)(1/2),2,,
IICWL0,13.3.6  IICA low-level width setting register 0 (IICWL0),Figure13-10.FormatofIICALow-LevelWidthSettingRegister0(IICWL0),,,
IICWH0,13.3.7  IICA high-level width setting register 0 (IICWH0),Figure13-11.FormatofIICAHigh-LevelWidthSettingRegister0(IICWH0),,,
SVA0,13.2  Configuration of Serial Interface IICA,Figure13-4.FormatofSlaveAddressRegister0(SVA0),,,
CRC0CTL,23.3.1  Flash memory CRC operation function (high-speed CRC),Figure23-1.FormatofFlashMemoryCRCControlRegister(CRC0CTL),,,
CRC0EN,23.3.1  Flash memory CRC operation function (high-speed CRC),Figure23-1.FormatofFlashMemoryCRCControlRegister(CRC0CTL),2,,
PGCRCL,23.3.1  Flash memory CRC operation function (high-speed CRC),Figure23-2.FormatofFlashMemoryCRCOperationResultRegister(PGCRCL),,,
CRCD,23.3.2  CRC operation function (general-purpose CRC),Figure23-5.FormatofCRCDataRegister(CRCD),,,
PFSEG0,4.3.9  LCD port function registers 0 to 4 (PFSEG0 to PFSEG4),Figure4-9.FormatofLCDportfunctionregisters0to4(PFSEG0toPFSEG4)(64-pinproducts),,PORT  FUNCTIONS,
PFSEG0,14.3.8  LCD port function registers 0 to 4 (PFSEG0 to PFSEG4),Figure14-11.FormatofLCDPortFunctionRegisters0to4(64-pinProducts),,LCD  CONTROLLER/DRIVER,
PFSEG1,4.3.9  LCD port function registers 0 to 4 (PFSEG0 to PFSEG4),Figure4-9.FormatofLCDportfunctionregisters0to4(PFSEG0toPFSEG4)(64-pinproducts),,PORT  FUNCTIONS,
PFSEG1,14.3.8  LCD port function registers 0 to 4 (PFSEG0 to PFSEG4),Figure14-11.FormatofLCDPortFunctionRegisters0to4(64-pinProducts),,LCD  CONTROLLER/DRIVER,
PFSEG2,4.3.9  LCD port function registers 0 to 4 (PFSEG0 to PFSEG4),Figure4-9.FormatofLCDportfunctionregisters0to4(PFSEG0toPFSEG4)(64-pinproducts),,PORT  FUNCTIONS,
PFSEG2,14.3.8  LCD port function registers 0 to 4 (PFSEG0 to PFSEG4),Figure14-11.FormatofLCDPortFunctionRegisters0to4(64-pinProducts),,LCD  CONTROLLER/DRIVER,
PFSEG3,4.3.9  LCD port function registers 0 to 4 (PFSEG0 to PFSEG4),Figure4-9.FormatofLCDportfunctionregisters0to4(PFSEG0toPFSEG4)(64-pinproducts),,PORT  FUNCTIONS,
PFSEG3,14.3.8  LCD port function registers 0 to 4 (PFSEG0 to PFSEG4),Figure14-11.FormatofLCDPortFunctionRegisters0to4(64-pinProducts),,LCD  CONTROLLER/DRIVER,
PFSEG4,4.3.9  LCD port function registers 0 to 4 (PFSEG0 to PFSEG4),Figure4-9.FormatofLCDportfunctionregisters0to4(PFSEG0toPFSEG4)(64-pinproducts),,PORT  FUNCTIONS,
PFSEG4,14.3.8  LCD port function registers 0 to 4 (PFSEG0 to PFSEG4),Figure14-11.FormatofLCDPortFunctionRegisters0to4(64-pinProducts),,LCD  CONTROLLER/DRIVER,
ISCLCD,4.3.10  LCD input switch control register (ISCLCD),Figure4-10.FormatofLCDinputswitchcontrolregister(ISCLCD),,PORT  FUNCTIONS,
ISCLCD,14.3.7  LCD input switch control register (ISCLCD) ,Figure14-8.FormatofLCDInputSwitchControlRegister(ISCLCD),,LCD  CONTROLLER/DRIVER,
SEG0,14.4  LCD Display Data Registers,Table14-10.RelationshipBetweenLCDDisplayDataRegisterContentsandSegment/CommonOutputs(1/2),,,
SEG1,14.4  LCD Display Data Registers,Table14-10.RelationshipBetweenLCDDisplayDataRegisterContentsandSegment/CommonOutputs(1/2),,,
SEG2,14.4  LCD Display Data Registers,Table14-10.RelationshipBetweenLCDDisplayDataRegisterContentsandSegment/CommonOutputs(1/2),,,
SEG3,14.4  LCD Display Data Registers,Table14-10.RelationshipBetweenLCDDisplayDataRegisterContentsandSegment/CommonOutputs(1/2),,,
SEG4,14.4  LCD Display Data Registers,Table14-10.RelationshipBetweenLCDDisplayDataRegisterContentsandSegment/CommonOutputs(1/2),,,
SEG5,14.4  LCD Display Data Registers,Table14-10.RelationshipBetweenLCDDisplayDataRegisterContentsandSegment/CommonOutputs(1/2),,,
SEG6,14.4  LCD Display Data Registers,Table14-10.RelationshipBetweenLCDDisplayDataRegisterContentsandSegment/CommonOutputs(1/2),,,
SEG7,14.4  LCD Display Data Registers,Table14-10.RelationshipBetweenLCDDisplayDataRegisterContentsandSegment/CommonOutputs(1/2),,,
SEG8,14.4  LCD Display Data Registers,Table14-10.RelationshipBetweenLCDDisplayDataRegisterContentsandSegment/CommonOutputs(1/2),,,
SEG9,14.4  LCD Display Data Registers,Table14-10.RelationshipBetweenLCDDisplayDataRegisterContentsandSegment/CommonOutputs(1/2),,,
SEG10,14.4  LCD Display Data Registers,Table14-10.RelationshipBetweenLCDDisplayDataRegisterContentsandSegment/CommonOutputs(1/2),,,
SEG11,14.4  LCD Display Data Registers,Table14-10.RelationshipBetweenLCDDisplayDataRegisterContentsandSegment/CommonOutputs(1/2),,,
SEG12,14.4  LCD Display Data Registers,Table14-10.RelationshipBetweenLCDDisplayDataRegisterContentsandSegment/CommonOutputs(1/2),,,
SEG13,14.4  LCD Display Data Registers,Table14-10.RelationshipBetweenLCDDisplayDataRegisterContentsandSegment/CommonOutputs(1/2),,,
SEG14,14.4  LCD Display Data Registers,Table14-10.RelationshipBetweenLCDDisplayDataRegisterContentsandSegment/CommonOutputs(1/2),,,
SEG15,14.4  LCD Display Data Registers,Table14-10.RelationshipBetweenLCDDisplayDataRegisterContentsandSegment/CommonOutputs(1/2),,,
SEG16,14.4  LCD Display Data Registers,Table14-10.RelationshipBetweenLCDDisplayDataRegisterContentsandSegment/CommonOutputs(1/2),,,
SEG17,14.4  LCD Display Data Registers,Table14-10.RelationshipBetweenLCDDisplayDataRegisterContentsandSegment/CommonOutputs(1/2),,,
SEG18,14.4  LCD Display Data Registers,Table14-10.RelationshipBetweenLCDDisplayDataRegisterContentsandSegment/CommonOutputs(1/2),,,
SEG19,14.4  LCD Display Data Registers,Table14-10.RelationshipBetweenLCDDisplayDataRegisterContentsandSegment/CommonOutputs(1/2),,,
